source,content,sentiment
twitter,با توکل و ایمان راسخ,pos
twitter,"امام لزوم حاکمیت اسلام و اعتقاد به مردم را از دل اسلام ناب به دست آورده بود و به آنها عمیقاً ایمان داشت.
#ولی_صادق",pos
twitter,تف تو این وضعیت که همه از دیشب دارن برنامه میکنن ولی من تو خونه باید بشینم درس بخونم.,neg
twitter,اوکي من نميفهمم اين توهم که بري به يکي همينجوري گير بدي که تو داذي جاج ميکني و شايعه ميکني و حقوق اوليه اون فرد که ميشه نظر دادن رو ناديده بگيري چرا انقدر زياد شده.کلا در معناي کلمات مشکل داري نيازي نيست شما به من حقوق اوليه انسان ها و تجاوز به حريم شخصي انسان هارو ياداور بشي,neg
twitter,دیگع به تخممه هرکی میخواد بیاد هرکیم نخواست نیاد,neu
twitter,البته منظورم اینه که کلا خودتو عوض نکن کاری با ایشون ندارم یوقت بی‌احترامی نشه😐😂,neu
twitter,یه جوری خستم امروز که میخوام همین کف جا بندازم بخوابم,neg
twitter,"نه به طرفداری از محسن رضایی
نه به هشتگ نه به جمهوری اسلامی که زدی
کدومو باور کنیم؟!😐",neg
twitter,"▪️ست روتختی و رو بالش برای تخت یک نفره، شامل:
1️⃣ یک عدد ملحفه خوشخواب کشدوزی شده به ابعاد:
طول 2m عرض 90cm ارتفاع 25cm
2️⃣ یک عدد رو بالش به ابعاد:
70×50 cm
ارسال به تمام نقاط ایران با پست 📬 (رایگان)",neu
twitter,بخشی از یک جلسه بود که از رئیسی به خاطر استفاده از زنان در دستگاه قضا تشکر کرد,pos
twitter,"مقام معظم رهبری:
کسی‌را‌ انتخاب کنید کهْ
کشور را به دشمن نفروشد
#ما_منتظر_انتخاباتیم #رای_میدهم",neu
twitter,با هر ورق کتاب دا اشک ریختم 💔,neg
twitter,اگر تجدید شدن و تلاشی نکردن چی؟ اگر طرف ترک تحصیل کرد چی؟ چرا باید این حس شکست خوردن رو از بچگی توی وجود بچه نهادینه کنی درحالیکه میتونی نادیده‌ش بگیری و تشویقش کنی. من دو سه نفر سال اخری دیدم، همگی افسردگی شدید گرفتن.,neg
twitter,از طبیعت لذت ببرید🥺,pos
twitter,"شاید بعضی ها برای زندگیشون آرزوهای دور و درازی دارن. ولی من فقط میخوام برم یه جایی که طبیعت داشته باشه و آرامش.
حتی انگیزه های جوانتریمم در حوزه رفع محرومیت و... زیاد ندارم.",neu
twitter,سلام کاملا صحیح است هر رای که به صندوق انداخته میشود رای به اصل نظام است,pos
twitter,"شرکت کردن در انتخابات به منزله ادامه دادن راه شهدا است.
#رای_میدهم",pos
twitter,فکر می‌کردم فقد در مورد پویا و پوریا این مشکل هست,neu
twitter,مگه ناف کر کثیف هم داریم ؟ فتیش ناف داری ؟,neu
twitter,"۳-بازیگران قدرت را خواهد ریخت . شاید مثل خامنه ای در طول سال‌ها و کم کم حذف کند تا استخر فرح یا به سرعت ولی فعلا رسیدن اصل است .
حال اصل ۱۱۱ چیست و نگاهی به چیدمان بر اساس آن بیاندازیم 
اصل ۱۱۱: هر گاه رهبر از وظایف خود ناتوان شود یا فاقد شرایط رهبری شود و یا فوت",neu
twitter,"من در 49 سال زندگی ندیدم امروزم از دیروز بهتر شده باشد.
چرابا این همه ذخائر زیر زمینی و رو زمینی از جمعیت ایران همان حدود 10%که همیشه در رأس‌ن همه امکانات دارند.
آیا ما جزء ایران نیستیم که باید وقتمان تو صف مرغ و روغن و.... صرف کنیم.
#نه‌به‌رای‌دادن",neg
twitter,زیاد از موسیقی سر درنمیارم ولی این روزا خیلی دلم می‌خواد یه ساز یاد بگیرم و حال این روزامو باهاش به قول قدیمیا گفتنی بنوازم...,pos
twitter,میدونم که وقتی از یه چیزی فاصله بگیرم بعدش اون چیز از نظرم کسشر میشه. این خوبه. این خیلی خوبه.,pos
twitter,خدایی که اینا را یاری کنه قطعا خدا نیست شیطانه,neg
twitter,"مادرم وقتی داریم تو واتساپ حرف می‌زنیم و صدای محیط رو می‌شنوه:

عه؟ خارج هم گنجشک داره؟",neu
twitter,"من بعد از هربار دیدن مهدی زمین پرداز :
""عه حسن باقری""
#زخم_کاری",neu
twitter,من هروقت با دوست دخترم میرم کافه باید دنگ داییم رو هم بدم.,neu
twitter,اگر تمام خلق انگشت به استهزاء نیزه کنند؛ مرا قاعده همین است . عشق مردانه باید: رگ بدرد؛ دمار برآورد؛ خون بجوشاند و استخوان بترکاند و گرنه لاف قحبگان فراوان است,neg
